hidden_dim,output_dim,dropout_rate,learning_rate,val_loss,pearson_corr,rmse
1024,512,0.1,1e-05,0.3822912722826004,0.7840635615094241,0.8752393
1024,1024,0.1,1e-05,0.3981180042028427,0.7501400293456684,0.9199937
2048,512,0.1,1e-05,0.3580363094806671,0.7095963088978677,0.97996444
2048,1024,0.1,1e-05,0.37586648762226105,0.7457267622780319,0.94965255
2048,2048,0.1,1e-05,0.38189075887203217,0.7572208369703542,0.96016836
4096,512,0.1,1e-05,0.357703372836113,0.79088262187737,0.9117523
4096,1024,0.1,1e-05,0.36343371868133545,0.7728526305494612,0.9265756
4096,2048,0.1,1e-05,0.3815266489982605,0.774568264645137,0.91792977
4096,4096,0.1,1e-05,0.3717539459466934,0.7405896169354205,0.9242287
8192,512,0.1,1e-05,0.343344122171402,0.7277108884829515,0.9583827
8192,1024,0.1,1e-05,0.3514063358306885,0.7411013356627643,0.9450289
8192,2048,0.1,1e-05,0.3861607313156128,0.7651670548199795,0.92835146
8192,4096,0.1,1e-05,0.3704039454460144,0.8024262546367469,0.91831404
8192,8192,0.1,1e-05,0.3865554630756378,0.7929928029822932,0.9115052
